Recency,Frequency,Monetary,Total_Quantity,Total_Revenue,Invoice_Count,Unique_Products,Average_Order_Value
38,3,1370.05,1168,1370.05,3,50,456.68333333333334
38,1,241.35,33,241.35,1,13,241.35
99,3,390.0,195,390.0,3,9,130.0
11,7,19543.84,14073,19543.84,7,169,2791.977142857143
292,1,202.56,132,202.56,1,11,202.56
46,11,3148.31,1332,3148.31,11,144,286.21
49,3,1352.62,681,1352.62,3,61,450.8733333333333
21,2,503.01,231,503.01,2,23,251.505
51,2,291.56,168,291.56,2,18,145.78
30,14,4428.24,2226,4428.24,14,109,316.30285714285714
23,2,763.08,454,763.08,2,38,381.54
58,2,1579.07,1285,1579.07,2,59,789.535
84,1,964.21,651,964.21,1,55,964.21
298,1,762.48,326,762.48,1,47,762.48
7,1,303.5,79,303.5,1,10,303.5
1,5,3735.51,1787,3735.51,5,70,747.1020000000001
9,13,4370.52,1811,4370.52,13,131,336.1938461538462
2,5,7205.39,6045,7205.39,5,163,1441.078
17,1,297.29,138,297.29,1,20,297.29
32,4,6096.04,2903,6096.04,4,68,1524.01
31,21,7731.99,5078,7731.99,21,216,368.19
318,2,1142.88,478,1142.88,2,69,571.44
98,2,859.2,331,859.2,2,21,429.6
2,1,173.55,121,173.55,1,11,173.55
368,1,485.31,182,485.31,1,21,485.31
56,1,301.58000000000004,144,301.58000000000004,1,20,301.58000000000004
46,2,768.6,729,768.6,2,10,384.3
35,3,490.32,314,490.32,3,25,163.44
99,3,3634.36,2784,3634.36,3,147,1211.4533333333334
31,4,13151.44,6697,13151.44,4,9,3287.86
81,4,3413.09,1213,3413.09,4,121,853.2725
71,1,632.6800000000001,251,632.6800000000001,1,22,632.6800000000001
63,2,830.09,480,830.09,2,44,415.045
241,1,454.36,258,454.36,1,23,454.36
92,1,326.65,170,326.65,1,18,326.65
318,1,56.73,1,56.73,1,1,56.73
59,1,132.8,129,132.8,1,9,132.8
162,3,2941.2,1835,2941.2,3,102,980.4
158,2,3070.54,2552,3070.54,2,76,1535.27
325,1,211.95,95,211.95,1,23,211.95
10,49,20129.54,8658,20129.54,49,159,410.8069387755102
5,13,11308.48,7202,11308.48,13,312,869.8830769230769
14,13,5048.66,3107,5048.66,13,197,388.35846153846154
45,1,426.26,236,426.26,1,25,426.26
32,12,7267.49,3223,7267.49,12,225,605.6241666666666
35,3,7056.63,2466,7056.63,3,209,2352.21
35,3,2183.2200000000003,1245,2183.2200000000003,3,79,727.7400000000001
1,6,6765.07,3949,6765.07,6,139,1127.5116666666665
212,29,23691.4,27042,23691.4,29,42,816.944827586207
14,11,2612.2000000000003,1050,2612.2000000000003,11,35,237.4727272727273
119,6,1826.78,1079,1826.78,6,110,304.4633333333333
165,1,708.1,414,708.1,1,34,708.1
67,1,1037.28,523,1037.28,1,49,1037.28
366,1,285.3,174,285.3,1,2,285.3
14,11,4405.71,2842,4405.71,11,117,400.5190909090909
39,1,452.0,252,452.0,1,22,452.0
1,3,626.77,281,626.77,3,28,208.92333333333332
276,1,357.4,130,357.4,1,17,357.4
256,2,45.34,30,45.34,2,10,22.67
36,2,5205.400000000001,4449,5205.400000000001,2,30,2602.7000000000003
196,1,393.72,302,393.72,1,27,393.72
71,8,1697.39,699,1697.39,8,61,212.17375
220,1,1126.0,561,1126.0,1,2,1126.0
53,2,297.0,368,297.0,2,8,148.5
44,1,955.2,324,955.2,1,42,955.2
220,1,539.25,362,539.25,1,28,539.25
95,7,4195.45,1696,4195.45,7,85,599.35
64,1,3084.02,1753,3084.02,1,190,3084.02
277,1,580.08,400,580.08,1,33,580.08
66,2,1336.56,1077,1336.56,2,38,668.28
112,1,385.70000000000005,212,385.70000000000005,1,22,385.70000000000005
10,12,2562.58,1398,2562.58,12,105,213.54833333333332
24,9,6640.39,3479,6640.39,9,65,737.8211111111111
134,3,973.73,509,973.73,3,56,324.57666666666665
130,2,386.8,292,386.8,2,13,193.4
164,1,316.48,192,316.48,1,21,316.48
51,5,2096.98,1800,2096.98,5,66,419.396
322,1,1807.98,1074,1807.98,1,110,1807.98
263,2,1367.89,704,1367.89,2,63,683.945
44,1,732.94,449,732.94,1,43,732.94
14,1,276.5,145,276.5,1,13,276.5
86,3,5646.400000000001,2468,5646.400000000001,3,127,1882.1333333333334
14,16,8854.25,4334,8854.25,16,171,553.390625
120,2,481.88,522,481.88,2,39,240.94
84,1,980.25,688,980.25,1,43,980.25
136,1,175.78,175,175.78,1,13,175.78
211,6,1575.68,1366,1575.68,6,38,262.61333333333334
21,2,916.47,360,916.47,2,39,458.235
84,1,468.5,240,468.5,1,26,468.5
318,1,129.23,1,129.23,1,1,129.23
7,4,6725.18,2398,6725.18,4,15,1681.295
21,2,1185.18,548,1185.18,2,33,592.59
44,1,249.24,113,249.24,1,13,249.24
3,7,4308.58,1781,4308.58,7,146,615.5114285714286
280,1,70.0,48,70.0,1,5,70.0
318,1,77.52,1,77.52,1,1,77.52
17,4,556.87,395,556.87,4,83,139.2175
93,2,622.82,315,622.82,2,34,311.41
28,3,826.89,527,826.89,3,51,275.63
17,5,990.5,722,990.5,5,144,198.1
21,2,1847.94,1184,1847.94,2,53,923.97
212,1,637.2,331,637.2,1,34,637.2
58,2,1469.04,685,1469.04,2,79,734.52
9,13,7166.06,3924,7166.06,13,87,551.2353846153846
10,3,1865.73,608,1865.73,3,76,621.91
35,3,743.88,385,743.88,3,27,247.96
57,6,4048.98,1458,4048.98,6,100,674.83
26,2,886.1,425,886.1,2,38,443.05
155,3,2145.06,1585,2145.06,3,32,715.02
14,5,1751.89,991,1751.89,5,60,350.37800000000004
140,1,299.02,271,299.02,1,19,299.02
99,3,1511.01,942,1511.01,3,69,503.67
17,6,1264.14,1233,1264.14,6,37,210.69000000000003
7,12,2444.88,640,2444.88,12,32,203.74
40,1,104.2,45,104.2,1,6,104.2
12,4,1232.95,929,1232.95,4,63,308.2375
318,1,21.0,1,21.0,1,1,21.0
40,1,415.79,323,415.79,1,16,415.79
10,6,2309.01,905,2309.01,6,84,384.83500000000004
24,5,3472.9900000000002,2513,3472.9900000000002,5,132,694.5980000000001
49,4,3449.79,1941,3449.79,4,147,862.4475
24,1,417.8,214,417.8,1,22,417.8
196,1,140.14,140,140.14,1,10,140.14
1,16,11086.14,6493,11086.14,16,163,692.88375
52,6,3442.7400000000002,1780,3442.7400000000002,6,109,573.7900000000001
145,2,2481.06,1697,2481.06,2,85,1240.53
21,2,1558.22,722,1558.22,2,40,779.11
92,5,2841.07,1371,2841.07,5,105,568.214
156,2,804.88,694,804.88,2,32,402.44
18,3,3514.18,2076,3514.18,3,182,1171.3933333333332
171,2,490.0,337,490.0,2,20,245.0
28,2,1241.23,777,1241.23,2,77,620.615
374,1,141.0,1,141.0,1,1,141.0
14,4,2280.91,1263,2280.91,4,162,570.2275
275,1,249.8,86,249.8,1,9,249.8
70,2,826.27,430,826.27,2,39,413.135
21,6,4960.18,2857,4960.18,6,14,826.6966666666667
66,3,1440.58,707,1440.58,3,76,480.1933333333333
45,4,1764.12,1041,1764.12,4,72,441.03
3,27,14201.53,5447,14201.53,27,218,525.9825925925926
73,3,793.95,358,793.95,3,32,264.65000000000003
18,5,1671.14,1373,1671.14,5,75,334.228
14,3,263.75,187,263.75,3,21,87.91666666666667
70,1,97.05000000000001,31,97.05000000000001,1,3,97.05000000000001
162,1,1950.98,762,1950.98,1,43,1950.98
59,1,261.35,80,261.35,1,16,261.35
61,3,2356.66,1137,2356.66,3,108,785.5533333333333
72,1,162.0,216,162.0,1,11,162.0
9,10,3138.2400000000002,1523,3138.2400000000002,10,94,313.824
260,2,239.4,181,239.4,2,9,119.7
150,2,1188.16,292,1188.16,2,4,594.08
53,2,250.6,128,250.6,2,13,125.3
30,1,1248.42,370,1248.42,1,31,1248.42
14,6,7575.88,3415,7575.88,6,233,1262.6466666666668
21,2,764.24,230,764.24,2,21,382.12
242,1,2622.481,1460,2622.481,1,45,2622.481
231,1,211.15,60,211.15,1,12,211.15
37,1,619.5,349,619.5,1,32,619.5
189,2,957.25,336,957.25,2,111,478.625
44,5,1511.7,1197,1511.7,5,47,302.34000000000003
191,2,395.1,176,395.1,2,13,197.55
11,9,16652.72,11449,16652.72,9,140,1850.3022222222223
3,24,17080.74,10060,17080.74,24,341,711.6975000000001
1,23,11745.69,5443,11745.69,23,210,510.6821739130435
1,8,4220.21,2696,4220.21,8,143,527.52625
7,1,89.14,107,89.14,1,7,89.14
116,2,2138.91,1403,2138.91,2,126,1069.455
56,1,134.6,51,134.6,1,7,134.6
273,1,110.95,36,110.95,1,13,110.95
32,3,847.11,281,847.11,3,35,282.37
57,1,973.68,846,973.68,1,46,973.68
164,3,825.02,234,825.02,3,28,275.00666666666666
70,2,851.91,564,851.91,2,43,425.955
226,1,339.75,111,339.75,1,16,339.75
53,1,638.11,373,638.11,1,41,638.11
165,4,1648.7,1049,1648.7,4,80,412.175
269,3,722.98,431,722.98,3,44,240.99333333333334
19,5,4893.81,3191,4893.81,5,196,978.7620000000001
4,9,2601.19,1214,2601.19,9,80,289.0211111111111
2,20,21107.94,9999,21107.94,20,152,1055.397
247,2,1339.05,770,1339.05,2,56,669.525
1,10,2797.53,1287,2797.53,10,99,279.75300000000004
24,7,9384.85,5705,9384.85,7,324,1340.6928571428573
226,1,277.93,94,277.93,1,16,277.93
5,6,2478.94,1645,2478.94,6,129,413.1566666666667
21,2,1356.95,696,1356.95,2,73,678.475
19,3,1286.11,934,1286.11,3,66,428.7033333333333
7,4,2266.76,1142,2266.76,4,92,566.69
23,4,1405.5,1475,1405.5,4,30,351.375
78,3,1698.8300000000002,734,1698.8300000000002,3,44,566.2766666666668
19,1,233.84,124,233.84,1,15,233.84
157,1,829.25,234,829.25,1,47,829.25
78,5,6879.8,3204,6879.8,5,72,1375.96
25,3,2040.92,759,2040.92,3,106,680.3066666666667
10,2,529.25,177,529.25,2,13,264.625
134,2,3710.5,2,3710.5,2,2,1855.25
8,1,155.35,148,155.35,1,11,155.35
21,2,1713.69,465,1713.69,2,51,856.845
165,2,406.07,214,406.07,2,16,203.035
261,1,1201.52,1359,1201.52,1,67,1201.52
95,4,4037.77,1753,4037.77,4,110,1009.4425
122,3,925.41,468,925.41,3,21,308.46999999999997
176,1,254.55,97,254.55,1,17,254.55
5,16,5061.03,1473,5061.03,16,67,316.314375
1,144,22457.9,13109,22457.9,144,1342,155.9576388888889
35,4,2806.48,889,2806.48,4,121,701.62
80,1,268.27,189,268.27,1,61,268.27
1,10,5218.71,2290,5218.71,10,31,521.871
95,5,7111.650000000001,4020,7111.650000000001,5,146,1422.3300000000002
22,5,3489.3,2300,3489.3,5,151,697.86
91,1,347.8,198,347.8,1,21,347.8
93,2,782.95,281,782.95,2,27,391.475
5,1,320.08,196,320.08,1,16,320.08
108,6,1404.58,1009,1404.58,6,49,234.09666666666666
2,3,3078.65,1800,3078.65,3,132,1026.2166666666667
11,1,949.82,598,949.82,1,43,949.82
86,1,168.69,102,168.69,1,10,168.69
92,1,1895.0,1100,1895.0,1,16,1895.0
121,1,282.3,104,282.3,1,15,282.3
200,1,124.25,109,124.25,1,6,124.25
171,1,98.7,53,98.7,1,6,98.7
24,2,300.08000000000004,206,300.08000000000004,2,13,150.04000000000002
303,1,55.5,46,55.5,1,4,55.5
93,1,519.45,458,519.45,1,26,519.45
32,3,953.4499999999999,910,953.4499999999999,3,55,317.81666666666666
7,7,2740.91,1617,2740.91,7,84,391.5585714285714
234,1,337.4,285,337.4,1,20,337.4
10,6,2287.32,931,2287.32,6,94,381.22
165,1,1230.33,582,1230.33,1,72,1230.33
171,2,788.45,322,788.45,2,36,394.225
245,1,728.5000000000001,324,728.5000000000001,1,18,728.5000000000001
49,1,398.52,249,398.52,1,24,398.52
99,4,444.90000000000003,194,444.90000000000003,4,20,111.22500000000001
148,2,181.5,32,181.5,2,2,90.75
46,1,266.93,140,266.93,1,16,266.93
9,6,863.51,353,863.51,6,17,143.91833333333332
170,1,426.47,177,426.47,1,22,426.47
7,2,471.85,231,471.85,2,23,235.925
264,1,381.0,182,381.0,1,7,381.0
1,2,552.08,215,552.08,2,27,276.04
57,1,1533.89,3199,1533.89,1,25,1533.89
165,1,219.35,137,219.35,1,15,219.35
106,3,584.25,284,584.25,3,31,194.75
136,1,1071.82,505,1071.82,1,50,1071.82
78,6,1988.84,1658,1988.84,6,89,331.4733333333333
29,1,1092.81,872,1092.81,1,55,1092.81
101,2,325.37,270,325.37,2,60,162.685
17,4,1434.95,593,1434.95,4,44,358.7375
71,4,2878.96,2087,2878.96,4,58,719.74
19,1,330.35,145,330.35,1,16,330.35
4,3,422.45,187,422.45,3,26,140.81666666666666
201,2,1266.63,298,1266.63,2,52,633.315
170,2,534.99,389,534.99,2,32,267.495
14,2,519.0500000000001,205,519.0500000000001,2,23,259.52500000000003
137,3,1687.8,1141,1687.8,3,37,562.6
35,2,524.94,166,524.94,2,16,262.47
94,1,540.52,344,540.52,1,19,540.52
33,7,1747.18,1242,1747.18,7,87,249.59714285714287
247,1,128.08,92,128.08,1,7,128.08
30,13,4742.0,700,4742.0,13,1,364.7692307692308
157,2,518.63,139,518.63,2,20,259.315
1,6,1481.03,937,1481.03,6,53,246.83833333333334
186,1,92.3,174,92.3,1,8,92.3
99,2,236.06,168,236.06,2,13,118.03
63,41,5996.83,2349,5996.83,41,138,146.2641463414634
25,11,3949.37,1169,3949.37,11,173,359.03363636363633
205,1,528.5600000000001,170,528.5600000000001,1,73,528.5600000000001
9,9,2694.75,1479,2694.75,9,177,299.4166666666667
3,13,4480.31,3042,4480.31,13,112,344.6392307692308
73,3,1315.2,747,1315.2,3,57,438.40000000000003
5,17,3472.61,2609,3472.61,17,154,204.27117647058824
40,2,799.0,340,799.0,2,13,399.5
18,22,4881.1,2247,4881.1,22,77,221.86818181818182
78,2,322.64,98,322.64,2,43,161.32
318,1,15.58,1,15.58,1,1,15.58
23,1,765.36,624,765.36,1,34,765.36
311,1,208.0,58,208.0,1,16,208.0
17,4,2032.18,1258,2032.18,4,80,508.045
81,1,330.0,200,330.0,1,2,330.0
113,1,148.95,51,148.95,1,30,148.95
63,5,1950.4,868,1950.4,5,58,390.08000000000004
197,4,1654.72,1004,1654.72,4,120,413.68
8,4,612.84,240,612.84,4,65,153.21
72,4,2581.6,1077,2581.6,4,46,645.4
19,1,147.27,51,147.27,1,36,147.27
94,1,575.1,292,575.1,1,21,575.1
329,1,54.22,26,54.22,1,16,54.22
255,1,68.25,27,68.25,1,4,68.25
61,2,984.62,611,984.62,2,119,492.31
15,5,2271.35,707,2271.35,5,23,454.27
144,1,152.45,231,152.45,1,4,152.45
14,2,1755.24,1048,1755.24,2,93,877.62
110,2,668.23,382,668.23,2,34,334.115
33,6,3819.92,3592,3819.92,6,260,636.6533333333333
9,3,640.0,354,640.0,3,30,213.33333333333334
317,1,337.66999999999996,144,337.66999999999996,1,35,337.66999999999996
11,3,1676.95,906,1676.95,3,85,558.9833333333333
75,1,363.38,284,363.38,1,7,363.38
1,11,3062.52,1526,3062.52,11,204,278.4109090909091
33,2,1653.3,658,1653.3,2,30,826.65
21,2,948.42,623,948.42,2,44,474.21
107,3,1013.7600000000001,3168,1013.7600000000001,3,2,337.92
30,2,1863.77,1106,1863.77,2,70,931.885
37,8,1406.3700000000001,1059,1406.3700000000001,8,76,175.79625000000001
17,2,640.13,279,640.13,2,32,320.065
19,1,222.4,100,222.4,1,13,222.4
17,4,385.46000000000004,124,385.46000000000004,4,25,96.36500000000001
23,1,329.3,201,329.3,1,56,329.3
94,8,509.5,1375,509.5,8,2,63.6875
32,1,263.38,140,263.38,1,18,263.38
211,1,157.35,33,157.35,1,21,157.35
17,2,297.75,139,297.75,2,9,148.875
99,2,296.21,235,296.21,2,27,148.105
49,1,366.4,108,366.4,1,17,366.4
58,1,340.33000000000004,139,340.33000000000004,1,13,340.33000000000004
64,1,833.5300000000001,493,833.5300000000001,1,41,833.5300000000001
212,2,1018.42,532,1018.42,2,52,509.21
31,2,508.91,177,508.91,2,23,254.455
16,3,1026.0,1800,1026.0,3,1,342.0
60,3,924.52,668,924.52,3,49,308.17333333333335
15,5,2721.48,1940,2721.48,5,38,544.296
187,1,1651.72,807,1651.72,1,220,1651.72
4,9,4217.23,1813,4217.23,9,26,468.58111111111106
36,1,223.98,336,223.98,1,9,223.98
8,3,811.1,359,811.1,3,40,270.3666666666667
78,3,1534.78,598,1534.78,3,51,511.5933333333333
36,5,3765.2,984,3765.2,5,44,753.04
262,1,10953.5,1,10953.5,1,1,10953.5
207,3,323.86,292,323.86,3,32,107.95333333333333
2,39,19333.95,12182,19333.95,39,200,495.7423076923077
26,2,597.6,162,597.6,2,28,298.8
29,8,1535.7,942,1535.7,8,37,191.9625
228,1,35.28,108,35.28,1,5,35.28
47,4,1523.97,754,1523.97,4,202,380.9925
30,1,197.31,145,197.31,1,11,197.31
14,7,2242.19,1427,2242.19,7,62,320.3128571428571
16,42,50291.38,34902,50291.38,42,21,1197.4138095238095
175,8,1698.56,1609,1698.56,8,69,212.32
16,5,1029.1,450,1029.1,5,152,205.82
372,1,181.65,31,181.65,1,2,181.65
11,8,2083.16,1348,2083.16,8,61,260.395
99,5,1593.34,976,1593.34,5,71,318.668
15,12,13683.0,5452,13683.0,12,12,1140.25
360,1,377.49,381,377.49,1,27,377.49
1,1,258.75,69,258.75,1,16,258.75
194,2,496.5,222,496.5,2,22,248.25
292,1,437.16,281,437.16,1,28,437.16
72,1,324.45,149,324.45,1,20,324.45
9,1,304.04,184,304.04,1,17,304.04
366,2,252.48,224,252.48,2,7,126.24
18,14,11359.48,5852,11359.48,14,262,811.3914285714285
22,9,2149.65,1159,2149.65,9,83,238.85000000000002
158,1,498.96,280,498.96,1,31,498.96
274,1,162.45,83,162.45,1,10,162.45
320,3,413.82,306,413.82,3,23,137.94
177,5,4689.43,2137,4689.43,5,221,937.8860000000001
36,2,467.34,118,467.34,2,45,233.67
120,1,150.95,109,150.95,1,8,150.95
49,4,1322.0700000000002,1379,1322.0700000000002,4,49,330.51750000000004
15,1,211.99,180,211.99,1,37,211.99
1,5,1744.96,928,1744.96,5,74,348.992
73,1,132.24,56,132.24,1,26,132.24
7,2,2646.02,834,2646.02,2,47,1323.01
238,1,122.45,55,122.45,1,5,122.45
16,6,1048.13,686,1048.13,6,174,174.68833333333336
2,33,4782.88,5298,4782.88,33,46,144.93575757575758
49,4,1161.2,844,1161.2,4,69,290.3
49,1,385.55,31,385.55,1,6,385.55
201,1,264.15,80,264.15,1,24,264.15
72,6,2100.09,911,2100.09,6,92,350.01500000000004
14,7,2417.78,2123,2417.78,7,94,345.3971428571429
137,3,474.64,116,474.64,3,45,158.21333333333334
21,5,2502.82,1394,2502.82,5,126,500.564
365,1,517.7,520,517.7,1,56,517.7
22,12,8870.880000000001,1024,8870.880000000001,12,7,739.2400000000001
30,7,2354.27,1441,2354.27,7,117,336.32428571428574
234,1,490.08,638,490.08,1,30,490.08
64,10,2729.84,1164,2729.84,10,61,272.98400000000004
56,3,753.51,366,753.51,3,35,251.17
60,18,6627.64,3992,6627.64,18,11,368.20222222222225
53,4,546.0,280,546.0,4,6,136.5
25,1,261.06,78,261.06,1,14,261.06
361,1,93.35,21,93.35,1,6,93.35
81,4,844.87,511,844.87,4,44,211.2175
11,1,355.5,122,355.5,1,22,355.5
30,4,884.02,522,884.02,4,32,221.005
128,3,920.08,1124,920.08,3,58,306.6933333333333
361,1,497.65,169,497.65,1,31,497.65
40,20,14256.68,7958,14256.68,20,261,712.8340000000001
52,2,293.18,128,293.18,2,14,146.59
22,18,5994.94,3946,5994.94,18,230,333.0522222222222
67,2,485.98,290,485.98,2,27,242.99
215,1,175.25,59,175.25,1,11,175.25
33,2,382.66,204,382.66,2,20,191.33
308,1,234.0,120,234.0,1,4,234.0
10,2,330.12,323,330.12,2,10,165.06
8,1,50.550000000000004,13,50.550000000000004,1,3,50.550000000000004
65,3,1310.99,739,1310.99,3,54,436.99666666666667
7,18,7814.83,4239,7814.83,18,224,434.15722222222223
68,1,1914.8,1074,1914.8,1,115,1914.8
74,6,3240.14,1918,3240.14,6,156,540.0233333333333
49,7,2485.46,1311,2485.46,7,117,355.0657142857143
15,6,1229.95,397,1229.95,6,46,204.99166666666667
198,2,618.96,278,618.96,2,38,309.48
10,8,2270.86,1194,2270.86,8,87,283.8575
65,1,65.3,35,65.3,1,5,65.3
164,1,759.13,299,759.13,1,36,759.13
106,2,555.87,181,555.87,2,26,277.935
367,1,323.39,241,323.39,1,13,323.39
124,4,757.72,846,757.72,4,24,189.43
21,13,10327.2,25560,10327.2,13,7,794.4000000000001
10,2,679.8,60,679.8,2,6,339.9
4,1,402.36,174,402.36,1,50,402.36
43,5,3292.84,2309,3292.84,5,275,658.568
28,7,1805.78,899,1805.78,7,110,257.9685714285714
65,1,30.0,15,30.0,1,2,30.0
5,2,279.91,153,279.91,2,16,139.955
67,1,442.32,282,442.32,1,15,442.32
320,1,307.1,38,307.1,1,6,307.1
35,9,3033.88,1699,3033.88,9,155,337.09777777777776
220,4,1010.73,290,1010.73,4,37,252.6825
86,4,799.13,335,799.13,4,23,199.7825
234,3,1488.59,812,1488.59,3,164,496.19666666666666
128,10,4287.58,2119,4287.58,10,327,428.758
37,2,503.64,184,503.64,2,25,251.82
92,1,319.94,241,319.94,1,21,319.94
9,17,5557.62,2038,5557.62,17,119,326.9188235294118
72,5,2229.7200000000003,1433,2229.7200000000003,5,85,445.9440000000001
25,2,751.5600000000001,352,751.5600000000001,2,10,375.78000000000003
2,19,6477.67,3449,6477.67,19,408,340.93
214,2,155.8,72,155.8,2,4,77.9
56,6,2771.18,1202,2771.18,6,150,461.8633333333333
257,1,127.65,47,127.65,1,17,127.65
65,1,1106.7,927,1106.7,1,78,1106.7
187,1,209.48,158,209.48,1,18,209.48
166,3,709.59,456,709.59,3,34,236.53
49,9,2108.37,825,2108.37,9,152,234.26333333333332
116,1,188.4,116,188.4,1,12,188.4
186,2,561.25,154,561.25,2,19,280.625
9,5,1055.05,381,1055.05,5,49,211.01
45,2,393.05,99,393.05,2,13,196.525
5,16,5185.51,9481,5185.51,16,421,324.094375
95,3,522.9,262,522.9,3,11,174.29999999999998
248,1,129.22,30,129.22,1,12,129.22
47,2,418.08,261,418.08,2,25,209.04
147,4,1378.74,826,1378.74,4,26,344.685
93,1,135.4,44,135.4,1,9,135.4
2,8,2326.35,1909,2326.35,8,144,290.79375
2,32,16904.51,6553,16904.51,32,108,528.2659375
53,1,199.08,96,199.08,1,11,199.08
37,3,222.65,73,222.65,3,11,74.21666666666667
7,19,30867.77,22355,30867.77,19,506,1624.6194736842106
60,12,3722.12,4142,3722.12,12,48,310.1766666666667
61,1,91.67999999999999,120,91.67999999999999,1,4,91.67999999999999
127,1,122.39999999999999,144,122.39999999999999,1,2,122.39999999999999
315,6,2017.2,728,2017.2,6,33,336.2
18,1,439.33000000000004,155,439.33000000000004,1,47,439.33000000000004
362,1,313.64,86,313.64,1,15,313.64
53,1,236.11,76,236.11,1,19,236.11
4,109,57885.45,29125,57885.45,109,474,531.0591743119265
1,13,5189.32,1181,5189.32,13,92,399.17846153846153
365,2,1976.0,873,1976.0,2,24,988.0
50,7,1662.45,385,1662.45,7,43,237.49285714285716
9,48,47111.18,22266,47111.18,48,172,981.4829166666667
4,2,505.80000000000007,372,505.80000000000007,2,5,252.90000000000003
30,1,419.7000000000001,6,419.7000000000001,1,1,419.7000000000001
24,18,7320.88,2985,7320.88,18,278,406.71555555555557
134,3,594.21,365,594.21,3,41,198.07000000000002
1,14,5272.83,2372,5272.83,14,114,376.6307142857143
73,2,465.70000000000005,344,465.70000000000005,2,21,232.85000000000002
51,3,610.62,330,610.62,3,5,203.54
72,1,72.0,100,72.0,1,1,72.0
49,1,526.96,213,526.96,1,15,526.96
49,5,3721.45,3023,3721.45,5,102,744.29
8,2,748.46,745,748.46,2,27,374.23
187,1,347.49,237,347.49,1,23,347.49
73,5,1468.8,375,1468.8,5,77,293.76
354,1,321.88000000000005,180,321.88000000000005,1,12,321.88000000000005
177,1,20.599999999999998,11,20.599999999999998,1,2,20.599999999999998
2,14,6357.08,1495,6357.08,14,107,454.07714285714286
366,1,234.38,74,234.38,1,16,234.38
15,6,3199.92,2367,3199.92,6,136,533.32
1,12,1658.9,1122,1658.9,12,90,138.24166666666667
12,4,1217.6,424,1217.6,4,57,304.4
304,1,134.9,110,134.9,1,11,134.9
108,2,506.75,268,506.75,2,36,253.375
21,1,885.33,619,885.33,1,56,885.33
159,1,148.62,53,148.62,1,20,148.62
2,7,1898.61,1266,1898.61,7,79,271.22999999999996
267,1,263.5,31,263.5,1,1,263.5
88,2,233.25,296,233.25,2,10,116.625
54,4,2240.4700000000003,1076,2240.4700000000003,4,94,560.1175000000001
95,1,90.65,23,90.65,1,5,90.65
38,2,681.65,305,681.65,2,21,340.825
127,1,275.45,123,275.45,1,17,275.45
11,8,3666.9500000000003,1781,3666.9500000000003,8,140,458.36875000000003
22,8,3983.65,2034,3983.65,8,406,497.95625
8,2,504.85,245,504.85,2,29,252.425
73,1,3138.04,2189,3138.04,1,95,3138.04
2,3,790.71,461,790.71,3,68,263.57
21,12,5267.33,3611,5267.33,12,231,438.94416666666666
