StockCode,Description,Total_Quantity,Total_Revenue,Total_Orders,Average_Daily_Demand,Maximum_Daily_Demand,Safety_Stock,Reorder_Level,Inventory_Status
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,338,757.17,26,13.0,247,2593.5,91.0,Healthy
16245A,PINK MINI STATIONERY SET W CASE,11,13.75,7,1.5714285714285714,3,31.5,11.0,Healthy
16248B,BLUE HOLE PUNCH,68,85.0,5,13.6,48,504.0,95.2,Restock Soon
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,901,263.08,23,39.17391304347826,864,9072.0,274.2173913043478,Healthy
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,524,232.35,35,14.971428571428572,72,756.0,104.8,Healthy
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,169,70.98,10,16.9,48,504.0,118.29999999999998,Healthy
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,596,200.32,45,13.244444444444444,180,1890.0,92.71111111111111,Healthy
16258B,DAISY ERASERS IN BAG,1016,221.06,15,67.73333333333333,526,5523.0,474.1333333333333,Healthy
16259,PIECE OF CAMO STATIONERY SET,2093,439.53,24,87.20833333333333,216,2268.0,610.4583333333333,Healthy
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1139,278.46999999999997,22,51.77272727272727,432,4536.0,362.40909090909093,Healthy
17003,BROCADE RING PURSE ,48374,8922.8,230,210.3217391304348,11088,116424.0,1472.2521739130436,Healthy
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,22,46.2,5,4.4,12,126.0,30.800000000000004,Restock Soon
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,261,179.56,12,21.75,97,1018.5,152.25,Healthy
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,19,11.100000000000001,2,9.5,16,168.0,66.5,Restock Soon
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,335,221.4,2,167.5,334,3507.0,1172.5,Restock Soon
17011D,ORIGAMI ROSE INCENSE+FLOWER,209,135.7,4,52.25,192,2016.0,365.75,Restock Soon
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.60000000000001,1,124.0,124,1302.0,868.0,Restock Soon
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,305,274.05,14,21.785714285714285,192,2016.0,152.5,Healthy
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,408,442.78,33,12.363636363636363,192,2016.0,86.54545454545455,Healthy
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,203,289.16999999999996,46,4.413043478260869,96,1008.0,30.891304347826086,Healthy
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,441,481.15,32,13.78125,192,2016.0,96.46875,Healthy
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,61,116.5,21,2.9047619047619047,24,252.0,20.333333333333332,Healthy
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,226,251.71999999999997,24,9.416666666666666,192,2016.0,65.91666666666666,Healthy
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,143,162.6,18,7.944444444444445,96,1008.0,55.611111111111114,Healthy
17013B,ORIGAMI JASMINE INCENSE IN TUBE,256,221.03,3,85.33333333333333,130,1365.0,597.3333333333333,Restock Soon
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213,89.46000000000001,2,106.5,117,1228.5,745.5,Restock Soon
17013D,ORIGAMI ROSE INCENSE IN TUBE,534,307.94,19,28.105263157894736,192,2016.0,196.73684210526315,Healthy
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,62,26.7,5,12.4,56,588.0,86.8,Restock Soon
17014A,ORIGAMI VANILLA INCENSE CONES,122,102.3,9,13.555555555555555,89,934.5,94.88888888888889,Healthy
17014C,ORIGAMI LAVENDER INCENSE CONES,97,43.75,2,48.5,96,1008.0,339.5,Restock Soon
17014D,ORIGAMI ROSE INCENSE CONES,479,204.36,8,59.875,192,2016.0,419.125,Healthy
17014E,ORIGAMI OPIUM INCENSE CONES,95,36.599999999999994,6,15.833333333333334,89,934.5,110.83333333333334,Restock Soon
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,61,23.699999999999996,4,15.25,57,598.5,106.75,Restock Soon
17021,NAMASTE SWAGAT INCENSE,1931,496.5,31,62.29032258064516,600,6300.0,436.0322580645161,Healthy
17027A,INCENSE BAZAAR CANNABIS,228,84.84,2,114.0,144,1512.0,798.0,Restock Soon
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3280,867.8399999999999,69,47.53623188405797,648,6804.0,332.75362318840575,Healthy
17038,PORCELAIN BUDAH INCENSE HOLDER,1134,103.45,22,51.54545454545455,200,2100.0,360.8181818181818,Healthy
17039,INLAID WOOD INCENSE HOLDER,3707,837.88,43,88.26190476190476,985,10342.5,617.8333333333333,Healthy
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,1,52.0,52,546.0,364.0,Restock Soon
17084A,TRANQUILITY MASALA INCENSE,242,50.82,11,22.0,25,262.5,154.0,Healthy
17084G,MOON INCENSE,50,10.5,2,25.0,25,262.5,175.0,Restock Soon
17084J,LOVE POTION MASALA INCENSE,256,53.76,13,19.692307692307693,25,262.5,137.84615384615387,Healthy
17084N,FAIRY DREAMS INCENSE ,1534,334.35,90,17.044444444444444,250,2625.0,119.3111111111111,Healthy
17084P,DRAGONS BLOOD INCENSE,593,123.99,33,17.96969696969697,200,2100.0,125.78787878787878,Healthy
17084R,ASSORTED INCENSE PACK,8033,1438.53,40,200.825,1440,15120.0,1405.7749999999999,Healthy
17090A,LAVENDER INCENSE 40 CONES IN TIN,106,113.3,18,5.888888888888889,36,378.0,41.22222222222223,Healthy
17090D,VANILLA INCENSE 40 CONES IN TIN,66,77.7,18,3.6666666666666665,12,126.0,25.666666666666664,Healthy
17091A,LAVENDER INCENSE IN TIN,1921,1195.73,94,20.43617021276596,252,2646.0,143.05319148936172,Healthy
17091B,JASMINE TEA INCENSE IN TIN,276,316.98,51,5.411764705882353,36,378.0,37.88235294117647,Healthy
17091F,SANDALWOOD INCENSE IN TIN,19,27.71,8,2.375,6,63.0,16.625,Healthy
17091J,VANILLA INCENSE IN TIN,2002,1377.32,89,22.49438202247191,288,3024.0,157.46067415730337,Healthy
17096,ASSORTED LAQUERED INCENSE HOLDERS,3696,661.5400000000001,53,69.73584905660377,864,9072.0,488.15094339622635,Healthy
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",160,408.0,43,3.7209302325581395,12,126.0,26.046511627906977,Healthy
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,355,149.1,23,15.434782608695652,48,504.0,108.04347826086956,Healthy
17109A,FLOWER FAIRY INCENSE LILY,709,333.61,13,54.53846153846154,300,3150.0,381.7692307692308,Healthy
17109B,FLOWER FAIRY INCENSE LAVENDER,4542,896.3399999999999,17,267.1764705882353,3888,40824.0,1870.235294117647,Healthy
17109C,FLOWER FAIRY INCENSE ROSE,3124,661.23,15,208.26666666666668,2520,26460.0,1457.8666666666668,Healthy
17109D,FLOWER FAIRY INCENSE BOUQUET,1198,569.34,34,35.23529411764706,360,3780.0,246.6470588235294,Healthy
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,86,57.98,11,7.818181818181818,72,756.0,54.72727272727273,Healthy
17129D,CLEAR COLOUR GLASS GEMS IN BAG,1125,1351.18,39,28.846153846153847,303,3181.5,201.92307692307693,Healthy
17129F,BLUE GLASS GEMS IN BAG,327,342.93,27,12.11111111111111,72,756.0,84.77777777777777,Healthy
17129F,DEEP BLUE GLASS GEMS IN BAG,669,794.4599999999999,64,10.453125,72,756.0,73.171875,Healthy
17136A,BLUE STONES ON WIRE FOR CANDLE,391,32.19,17,23.0,48,504.0,161.0,Healthy
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1595,636.06,73,21.84931506849315,288,3024.0,152.94520547945206,Healthy
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1150,447.0,28,41.07142857142857,288,3024.0,287.5,Healthy
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,810,751.68,57,14.210526315789474,288,3024.0,99.47368421052632,Healthy
17165D,ASS COL LARGE SAND FROG P'WEIGHT,689,653.97,82,8.402439024390244,108,1134.0,58.8170731707317,Healthy
17174,ASSTD RASTA KEY-CHAINS,27,11.34,4,6.75,24,252.0,47.25,Restock Soon
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,24,5.541666666666667,25,262.5,38.79166666666667,Healthy
17181,CIRCLE OF FRIENDS CANDLE HOLDER,353,642.66,65,5.515625,72,756.0,38.609375,Healthy
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,29,108.75,10,2.9,6,63.0,20.3,Healthy
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5539,652.97,46,120.41304347826087,2400,25200.0,842.8913043478261,Healthy
18010,ASSORTED FRAGRANCE BATH CONFETTI,64,30.16,9,7.111111111111111,24,252.0,49.77777777777777,Healthy
18094C,WHITE AND BLUE CERAMIC OIL BURNER,221,274.93,45,4.911111111111111,24,252.0,34.37777777777778,Healthy
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,33,58.05,13,2.5384615384615383,6,63.0,17.769230769230766,Healthy
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,117,298.7,20,5.85,48,504.0,40.949999999999996,Healthy
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,8,41.14,6,1.3333333333333333,2,21.0,9.333333333333332,Restock Soon
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,13,33.15,9,1.4444444444444444,3,31.5,10.11111111111111,Healthy
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,7,17.849999999999998,3,2.3333333333333335,3,31.5,16.333333333333336,Restock Soon
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1116,2458.82,149,7.54054054054054,192,2016.0,52.78378378378378,Healthy
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,5.9,2,1.0,1,10.5,7.0,Restock Soon
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,8.850000000000001,3,1.0,1,10.5,7.0,Restock Soon
18098C,PORCELAIN BUTTERFLY OIL BURNER,1039,2681.61,197,5.301020408163265,96,1008.0,37.107142857142854,Healthy
18098c,PORCELAIN BUTTERFLY OIL BURNER,280,1418.8899999999999,130,2.4347826086956523,13,136.5,17.043478260869566,Overstock
20615,BLUE POLKADOT PASSPORT COVER,22,73.63,20,1.1,3,31.5,7.700000000000001,Healthy
20615,BLUE SPOTTY PASSPORT COVER,316,570.85,88,3.590909090909091,100,1050.0,25.136363636363637,Healthy
20616,CHERRY BLOSSOM PASSPORT COVER,93,218.35,53,1.7884615384615385,12,126.0,12.51923076923077,Healthy
20617,FIRST CLASS PASSPORT COVER ,406,802.26,63,6.444444444444445,200,2100.0,45.111111111111114,Healthy
20618,QUEEN OF THE SKIES PASSPORT COVER ,150,364.25,62,2.4193548387096775,20,210.0,16.935483870967744,Healthy
20619,TROPICAL PASSPORT COVER ,317,578.98,96,3.3020833333333335,100,1050.0,23.114583333333336,Healthy
20620,RED SPOTTY PASSPORT COVER,15,61.76,14,1.0714285714285714,2,21.0,7.5,Healthy
20621,ECONOMY PASSPORT COVER ,207,451.67,33,6.2727272727272725,100,1050.0,43.90909090909091,Healthy
20622,VIPPASSPORT COVER ,401,840.73,81,4.950617283950617,200,2100.0,34.654320987654316,Healthy
20652,BLUE POLKADOT LUGGAGE TAG ,19,30.049999999999997,16,1.1875,2,21.0,8.3125,Healthy
20652,BLUE SPOTTY LUGGAGE TAG ,1236,657.9,80,15.645569620253164,600,6300.0,109.51898734177215,Healthy
20653,CHERRY BLOSSOM LUGGAGE TAG,1933,438.61,50,39.44897959183673,1800,18900.0,276.1428571428571,Healthy
20654,FIRST CLASS LUGGAGE TAG ,246,311.82,71,3.464788732394366,24,252.0,24.25352112676056,Healthy
20655,QUEEN OF SKIES LUGGAGE TAG,223,326.21,95,2.3473684210526318,12,126.0,16.431578947368422,Healthy
20657,TROPICAL LUGGAGE TAG,1805,621.81,86,21.235294117647058,1200,12600.0,148.6470588235294,Healthy
20658,RED RETROSPOT LUGGAGE TAG,180,259.02,62,2.903225806451613,12,126.0,20.322580645161292,Healthy
20658,RED SPOTTY LUGGAGE TAG,1000,1385.3,195,5.154639175257732,30,315.0,36.08247422680412,Overstock
20659,ECONOMY LUGGAGE TAG,212,287.92,77,2.7532467532467533,12,126.0,19.272727272727273,Healthy
20660,VIP LUGGAGE TAG ,71,88.75,26,2.730769230769231,12,126.0,19.115384615384617,Healthy
20661,BLUE POLKADOT PURSE ,372,251.96,21,17.714285714285715,300,3150.0,124.0,Healthy
20661,BLUE SPOTTY PURSE ,483,589.9000000000001,70,6.9,300,3150.0,48.300000000000004,Healthy
20662,FIRST CLASS HOLIDAY PURSE ,699,385.93000000000006,31,22.548387096774192,300,3150.0,157.83870967741933,Healthy
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1051,308.17,26,40.42307692307692,500,5250.0,282.96153846153845,Healthy
20664,TROPICAL HOLIDAY PURSE ,25,73.75,13,1.9230769230769231,4,42.0,13.461538461538462,Healthy
20665,RED RETROSPOT PURSE ,169,547.0300000000001,49,3.4489795918367347,12,126.0,24.142857142857142,Healthy
20665,RED SPOTTY PURSE ,736,2278.17,156,4.748387096774193,24,252.0,33.23870967741935,Overstock
20666,ECONOMY HOLIDAY PURSE,881,370.92,29,30.379310344827587,400,4200.0,212.6551724137931,Healthy
20667,CHERRY BLOSSOM PURSE,20,59.00000000000001,8,2.5,4,42.0,17.5,Healthy
20668,DISCO BALL CHRISTMAS DECORATION,8865,1049.25,170,52.14705882352941,1002,10521.0,365.0294117647059,Healthy
20669,RED HEART LUGGAGE TAG,514,698.36,125,4.112,36,378.0,28.784,Healthy
20670,VIP HOLIDAY PURSE,680,334.81000000000006,37,18.37837837837838,300,3150.0,128.64864864864865,Healthy
20671,BLUE TEATIME PRINT BOWL ,786,1038.72,143,5.496503496503497,72,756.0,38.47552447552448,Healthy
20672,PINK TEATIME PRINT BOWL,138,201.0,36,3.8333333333333335,16,168.0,26.833333333333336,Healthy
20673,STRAWBERRIES PRINT BOWL,5,6.25,2,2.5,4,42.0,17.5,Restock Soon
20674,GREEN POLKADOT BOWL,310,403.88,50,6.2,36,378.0,43.4,Healthy
20674,GREEN SPOTTY BOWL,1564,1963.44,214,7.342723004694836,72,756.0,51.399061032863855,Overstock
20675,BLUE POLKADOT BOWL,595,740.1,70,8.5,80,840.0,59.5,Healthy
20675,BLUE SPOTTY BOWL,2849,3455.94,308,9.25,144,1512.0,64.75,Healthy
20676,RED RETROSPOT BOWL,968,1244.16,110,8.8,72,756.0,61.60000000000001,Healthy
20676,RED SPOTTY BOWL,4629,5660.1900000000005,422,10.995249406175772,144,1512.0,76.9667458432304,Overstock
20677,PINK POLKADOT BOWL,648,839.87,89,7.280898876404494,96,1008.0,50.96629213483146,Healthy
20677,PINK SPOTTY BOWL,3566,4348.93,348,10.24712643678161,144,1512.0,71.72988505747126,Overstock
20679,EDWARDIAN PARASOL RED,4546,20628.05,409,11.114914425427873,600,6300.0,77.80440097799512,Healthy
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5,4,1.5,3,31.5,10.5,Restock Soon
20681,PINK POLKADOT CHILDRENS UMBRELLA,289,1059.97,99,2.9489795918367347,18,189.0,20.642857142857142,Healthy
20681,PINK SPOTTY CHILDS UMBRELLA,1000,3292.86,206,4.854368932038835,60,630.0,33.98058252427184,Healthy
